17/07/2026 09:00,The Open
17/07/2026 09:30,Bet 10 Get 5 - The Open
17/07/2026 11:00,Horse Racing
17/07/2026 11:30,Multi Bet & Get - Horse Racing
17/07/2026 12:00,Price Boost - The Open
17/07/2026 15:00,3rd Place Play-Off
17/07/2026 15:30,50% BBB - 3rd Place Play-Off
17/07/2026 16:00,World Cup 2026 - Final build-up
18/07/2026 09:00,The Open
18/07/2026 09:30,Price Boost - The Open
18/07/2026 10:00,Horse Racing
18/07/2026 10:30,Best Odds Guaranteed - Horse Racing
18/07/2026 11:00,All-Ireland Hurling Final
18/07/2026 11:30,Super Boost - All-Ireland Hurling Final
18/07/2026 12:00,3rd Place Play-Off
18/07/2026 12:30,50% BBB - 3rd Place Play-Off
18/07/2026 16:00,World Matchplay
18/07/2026 16:30,EPO - World Matchplay
18/07/2026 17:00,Bet & Get - World Matchplay
18/07/2026 19:30,EPO
18/07/2026 20:00,World Cup Final
18/07/2026 20:15,Super Boost - World Cup Final
18/07/2026 20:30,3rd Place Play-Off
18/07/2026 21:00,Lineups
18/07/2026 21:30,50% BBB - 3rd Place Play-Off
19/07/2026 09:00,World Cup Final
19/07/2026 10:00,The Open
19/07/2026 10:30,Price Boost - The Open
19/07/2026 11:00,Horse Racing
19/07/2026 11:30,Best Odds Guaranteed - Horse Racing
19/07/2026 12:00,All-Ireland Hurling Final
19/07/2026 12:30,Super Boost - All-Ireland Hurling Final
19/07/2026 13:00,World Cup Final
19/07/2026 13:30,Super Boost - World Cup Final
19/07/2026 15:00,World Cup Final
19/07/2026 16:00,World Matchplay
19/07/2026 16:15,EPO - World Matchplay
19/07/2026 16:30,Bet & Get - World Matchplay
19/07/2026 17:00,EPO
19/07/2026 18:30,World Cup Final
19/07/2026 19:00,Lineups
19/07/2026 19:30,Super Boost - World Cup Final
